Fecha;Hora Exacta;Hora;latitude;longitude;depth;mag;magType;;;;;;;
19-01-2021;2:46:22;2;-318.304;-688.059;20;6.4;mww;;;;;;;
27-12-2020;21:39:14;21;-393.384;-749.874;10;6.7;mww;;;;;;;
14-12-2020;15:20:49;15;-218.063;-687.079;114;6;mww;;;;;;;
06-12-2020;16:47:42;16;-203.947;-690.609;105;6.1;mww;;;;;;;
22-11-2020;0:54:56;0;-345.978;-730.596;22;6.1;mww;;;;;;;
11-09-2020;7:35:57;7;-213.968;-699.096;51;6.2;mww;;;;;;;
06-09-2020;1:16:58;1;-303.388;-714.912;30;6.3;mww;;;;;;;
01-09-2020;21:09:17;21;-279.162;-713.701;16;6.5;mww;;;;;;;
01-09-2020;4:30:02;4;-280.315;-712.662;16.18;6.3;mww;;;;;;;
01-09-2020;4:09:28;4;-279.686;-713.062;21;6.8;mww;;;;;;;
03-06-2020;7:35:36;7;-23.274;-684.677;112;6.8;mww;;;;;;;
03-12-2019;8:46:35;8;-185.042;-70.57;38;6;mww;;;;;;;
04-11-2019;21:53:25;21;-318.362;-713.753;53;6.1;mww;;;;;;;
29-09-2019;15:57:53;15;-354.758;-73.163;11;6.7;mww;;;;;;;
26-09-2019;16:36:18;16;-408.145;-719.993;129;6.1;mww;;;;;;;
01-08-2019;18:28:07;18;-342.364;-723.102;25;6.8;mww;;;;;;;
14-06-2019;0:19:12;0;-300.557;-720.819;11;6.4;mww;;;;;;;
20-01-2019;1:32:52;1;-300.404;-713.815;63;6.7;mww;;;;;;;
01-11-2018;22:19:51;22;-195.827;-692.656;102;6.2;mww;;;;;;;
10-04-2018;10:19:34;10;-310.258;-715.292;66;6.2;mww;;;;;;;
21-01-2018;1:06:42;1;-188.806;-694.445;116;6.3;mww;;;;;;;
10-10-2017;6:32:21;6;-185.715;-697.526;85;6.3;mww;;;;;;;
24-04-2017;21:38:30;21;-330.375;-720.617;28;6.9;mww;;;;;;;
23-04-2017;2:36:07;2;-330.354;-720.296;21;6;mww;;;;;;;
